time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
0.787,control,normal_flow,0.0,normal_bag,inf,0.000,0.000,0.0,1,adjust_flow(delta=150.000),no_alarm
1.235,control,normal_flow,1.0,normal_bag,inf,21.313,150.000,150,1,adjust_flow(delta=128.687),no_alarm
2.235,control,normal_flow,2.0,normal_bag,inf,39.610,150.000,150,1,adjust_flow(delta=110.390),no_alarm
3.235,control,normal_flow,3.0,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),no_alarm
4.235,control,normal_flow,4.0,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),no_alarm
5.235,control,normal_flow,5.0,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),no_alarm
6.235,control,normal_flow,5.0,normal_bag,inf,67.545,150.000,150,1,medium_alarm,no_alarm
6.235,alarm,normal_flow,5.0,normal_bag,inf,67.545,150.000,150,1,medium_alarm,medium_alarm
7.235,control,medium_flow,2,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),medium_alarm
8.235,control,medium_flow,3,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),medium_alarm
9.235,control,medium_flow,4,normal_bag,inf,67.545,150.000,150,1,adjust_flow(delta=82.455),medium_alarm
10.235,control,medium_flow,5,normal_bag,inf,174.410,150.000,150,1,adjust_flow(delta=-24.410),medium_alarm
11.235,control,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,medium_alarm
11.235,alarm,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
11.235,control,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
41.235,alarm,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
51.235,alarm,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
61.235,alarm,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
71.235,alarm,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
79.946,nurse_confirmation,medium_flow,5,normal_bag,inf,174.410,150.000,150,2,critical_alarm; stop_pump,critical_alarm
79.946,control,critical_flow,0,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
80.235,control,normal_flow,1,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
81.235,control,normal_flow,2,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
82.235,control,normal_flow,3,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
83.235,control,normal_flow,4,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
84.235,control,normal_flow,5,normal_bag,inf,170.191,150.000,150,1,adjust_flow(delta=-20.191),critical_alarm
85.235,control,normal_flow,5,normal_bag,inf,170.191,150.000,150,1,medium_alarm,critical_alarm
85.235,alarm,normal_flow,5,normal_bag,inf,170.191,150.000,150,1,medium_alarm,medium_alarm
86.235,control,medium_flow,0,normal_bag,inf,148.603,150.000,150,1,adjust_flow(delta=1.397),medium_alarm
