time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
2.315,control,normal_flow,2.0,normal_bag,inf,89.000,100.000,100.0,1,adjust_flow(delta=11.000),no_alarm
3.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
4.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
5.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
6.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
7.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
8.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
9.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
10.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
11.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
12.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
13.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
14.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
15.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
16.673,control,normal_flow,0,normal_bag,inf,90.555,100.000,100.0,1,adjust_flow(delta=9.445),no_alarm
17.673,control,normal_flow,1,normal_bag,inf,117.542,100.000,100.0,1,adjust_flow(delta=-17.542),no_alarm
18.673,control,normal_flow,2,normal_bag,inf,113.047,100.000,100.0,1,adjust_flow(delta=-13.047),no_alarm
19.673,control,normal_flow,3,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),no_alarm
20.673,control,normal_flow,4,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),no_alarm
21.673,control,normal_flow,5,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),no_alarm
22.673,control,normal_flow,5,normal_bag,inf,111.553,100.000,100.0,1,medium_alarm,no_alarm
22.673,alarm,normal_flow,5,normal_bag,inf,111.553,100.000,100.0,1,medium_alarm,medium_alarm
23.673,control,medium_flow,2,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),medium_alarm
24.673,control,medium_flow,3,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),medium_alarm
25.673,control,medium_flow,4,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),medium_alarm
26.673,control,medium_flow,5,normal_bag,inf,111.553,100.000,100.0,1,adjust_flow(delta=-11.553),medium_alarm
27.673,control,medium_flow,5,normal_bag,inf,111.553,100.000,100.0,2,critical_alarm; stop_pump,medium_alarm
27.673,alarm,medium_flow,5,normal_bag,inf,111.553,100.000,100.0,2,critical_alarm; stop_pump,critical_alarm
