time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
0.740,control,normal_flow,4.0,normal_bag,inf,100.000,120.000,120.0,1,adjust_flow(delta=20.000),no_alarm
0.951,control,normal_flow,5.0,normal_bag,inf,103.987,120.000,120.0,1,adjust_flow(delta=16.013),no_alarm
1.951,control,normal_flow,5.0,normal_bag,inf,103.987,120.000,120.0,1,medium_alarm,no_alarm
1.951,alarm,normal_flow,5.0,normal_bag,inf,103.987,120.000,120.0,1,medium_alarm,medium_alarm
2.951,control,medium_flow,2,normal_bag,inf,103.987,120.000,120.0,1,adjust_flow(delta=16.013),medium_alarm
3.951,control,medium_flow,3,normal_bag,inf,103.987,120.000,120.0,1,adjust_flow(delta=16.013),medium_alarm
4.951,control,medium_flow,4,normal_bag,inf,103.987,120.000,120.0,1,adjust_flow(delta=16.013),medium_alarm
5.951,control,medium_flow,5,normal_bag,inf,103.987,120.000,120.0,1,adjust_flow(delta=16.013),medium_alarm
6.951,control,medium_flow,5,normal_bag,inf,103.987,120.000,120.0,2,critical_alarm; stop_pump,medium_alarm
6.951,alarm,medium_flow,5,normal_bag,inf,103.987,120.000,120.0,2,critical_alarm; stop_pump,critical_alarm
6.951,control,medium_flow,5,normal_bag,inf,103.987,120.000,120.0,2,critical_alarm; stop_pump,critical_alarm
26.561,nurse_confirmation,medium_flow,5,normal_bag,inf,103.987,120.000,120.0,2,critical_alarm; stop_pump,no_alarm
26.561,control,critical_flow,0,normal_bag,inf,121.423,120.000,120.0,1,adjust_flow(delta=-1.423),no_alarm
26.951,control,normal_flow,0,normal_bag,inf,121.423,120.000,120.0,1,adjust_flow(delta=-1.423),no_alarm
27.951,control,normal_flow,0,normal_bag,inf,121.049,120.000,120.0,1,adjust_flow(delta=-1.049),no_alarm
28.951,control,normal_flow,0,normal_bag,inf,120.869,120.000,120.0,1,adjust_flow(delta=-0.869),no_alarm
29.951,control,normal_flow,0,normal_bag,inf,120.869,120.000,120.0,1,adjust_flow(delta=-0.869),no_alarm
30.951,control,normal_flow,0,normal_bag,inf,120.869,120.000,120.0,1,adjust_flow(delta=-0.869),no_alarm
31.951,control,normal_flow,0,normal_bag,inf,120.466,120.000,120.0,1,adjust_flow(delta=-0.466),no_alarm
32.951,control,normal_flow,0,normal_bag,inf,120.466,120.000,120.0,1,adjust_flow(delta=-0.466),no_alarm
33.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
34.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
35.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
36.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
37.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
38.951,control,normal_flow,0,normal_bag,inf,120.272,120.000,120.0,1,adjust_flow(delta=-0.272),no_alarm
39.951,control,normal_flow,0,normal_bag,inf,119.933,120.000,120.0,1,adjust_flow(delta=0.067),no_alarm
40.951,control,normal_flow,0,normal_bag,inf,119.941,120.000,120.0,1,adjust_flow(delta=0.059),no_alarm
41.951,control,normal_flow,0,normal_bag,inf,119.941,120.000,120.0,1,adjust_flow(delta=0.059),no_alarm
42.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
43.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
44.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
45.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
46.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
47.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
48.951,control,normal_flow,0,normal_bag,inf,119.963,120.000,120.0,1,adjust_flow(delta=0.037),no_alarm
49.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
50.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
51.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
52.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
53.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
54.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
55.951,control,normal_flow,0,normal_bag,inf,120.017,120.000,120.0,1,adjust_flow(delta=-0.017),no_alarm
56.951,control,normal_flow,0,normal_bag,inf,119.995,120.000,120.0,1,adjust_flow(delta=0.005),no_alarm
57.951,control,normal_flow,0,normal_bag,inf,119.995,120.000,120.0,1,adjust_flow(delta=0.005),no_alarm
58.951,control,normal_flow,0,normal_bag,inf,119.995,120.000,120.0,1,adjust_flow(delta=0.005),no_alarm
59.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
60.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
61.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
62.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
63.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
64.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
65.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
66.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
67.951,control,normal_flow,0,normal_bag,inf,119.998,120.000,120.0,1,adjust_flow(delta=0.002),no_alarm
68.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
69.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
70.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
71.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
72.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
73.951,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=-0.000),no_alarm
