time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
2.227,control,normal_flow,0.0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
3.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
4.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
5.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
6.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
7.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
8.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
9.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
10.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
11.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
12.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
13.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
14.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
15.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
16.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
17.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
18.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
19.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
20.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
21.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
22.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
23.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
24.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
25.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
26.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
27.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
28.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
29.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
30.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
31.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
32.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
33.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
34.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
35.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
36.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
37.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
38.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
39.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
40.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
41.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
42.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
43.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
44.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
45.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
46.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
47.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
48.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
49.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
50.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
51.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
52.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
53.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
54.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
55.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
56.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
57.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
58.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
59.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
60.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
61.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
62.061,control,normal_flow,0,normal_bag,inf,120.000,120.000,120.0,1,adjust_flow(delta=0.000),no_alarm
