time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
0.439,control,normal_flow,0.0,normal_bag,inf,0.000,0.000,0.0,1,adjust_flow(delta=200.000),no_alarm
4.926,control,normal_flow,1.0,normal_bag,inf,44.082,200.000,200,1,adjust_flow(delta=155.918),no_alarm
5.926,control,normal_flow,2.0,normal_bag,inf,44.082,200.000,200,1,adjust_flow(delta=155.918),no_alarm
6.926,control,normal_flow,3.0,normal_bag,inf,44.082,200.000,200,1,adjust_flow(delta=155.918),no_alarm
7.926,control,normal_flow,4.0,normal_bag,inf,44.082,200.000,200,1,adjust_flow(delta=155.918),no_alarm
8.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
9.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
10.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
11.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
12.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
13.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
14.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
15.926,control,normal_flow,0,normal_bag,inf,199.441,200.000,200,1,adjust_flow(delta=0.559),no_alarm
16.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
17.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
18.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
19.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
20.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
21.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
22.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
23.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
24.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
25.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
26.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
27.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
28.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
29.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
30.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
31.926,control,normal_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),no_alarm
