time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
0.000,alarm,normal_flow,0,normal_bag,inf,0.000,0.000,0,0,,critical_alarm
16.670,nurse_confirmation,normal_flow,0,normal_bag,inf,0.000,0.000,0,0,,critical_alarm
16.670,control,critical_flow,5.0,normal_bag,inf,0.000,200.000,200,1,adjust_flow(delta=200.000),critical_alarm
18.683,control,normal_flow,1,normal_bag,inf,54.978,200.000,200,1,adjust_flow(delta=145.022),critical_alarm
19.683,control,normal_flow,2,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),critical_alarm
20.683,control,normal_flow,3,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),critical_alarm
21.683,control,normal_flow,4,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),critical_alarm
22.683,control,normal_flow,5,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),critical_alarm
23.683,control,normal_flow,5,normal_bag,inf,79.903,200.000,200,1,medium_alarm,critical_alarm
23.683,alarm,normal_flow,5,normal_bag,inf,79.903,200.000,200,1,medium_alarm,medium_alarm
24.683,control,medium_flow,2,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),medium_alarm
25.683,control,medium_flow,3,normal_bag,inf,79.903,200.000,200,1,adjust_flow(delta=120.097),medium_alarm
26.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
27.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
28.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
29.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
30.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
31.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
32.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
33.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
34.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
35.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
36.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
37.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
38.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
39.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
40.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
41.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
42.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
43.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
44.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
45.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
46.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
47.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
48.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
49.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
50.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
51.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
52.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
53.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
54.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
55.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
56.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
57.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
58.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
59.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
60.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
61.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
62.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
63.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
64.683,control,medium_flow,0,normal_bag,inf,200.000,200.000,200,1,adjust_flow(delta=0.000),medium_alarm
